CDSSYS,CDS_CUST_ENQUIRY,,EN
PART_NO,DATE_REQUESTED,QUOTE_PRICE_1,QUOTE_PRICE_LT_1,QUOTE_QTY_1,QUOTE_PRICE_2,QUOTE_PRICE_LT_2,QUOTE_QTY_2,QUOTE_PRICE_3,QUOTE_PRICE_LT_3,QUOTE_QTY_3,QUOTE_PRICE_4,QUOTE_PRICE_LT_4,QUOTE_QTY_4,QUOTE_REF,QUOTE_VALIDITY
KDCB435,2014-06-02,0,0,0,0,0,0,0,0,0,0,0,0,,
KDCB436,2014-06-02,0,0,0,0,0,0,0,0,0,0,0,0,,
77881203,2014-11-07,391.65,26,100,0,0,0,0,0,0,0,0,0,CDS3251\2015,2016-09-09
1290-1035,2014-11-13,0,0,0,0,0,0,0,0,0,0,0,0,,
1541A1368,2014-12-09,7892.183261,61,0,2029.431027,61,0,1296.095818,61,0,0,0,0,CDS3653\2015,2016-09-10
86635292SP,2015-01-21,29497.50285,135,0,26260.51486,60,0,0,0,0,0,0,0,CDS3831\2015,
77879363,2015-01-23,0,0,0,0,0,0,0,0,0,0,0,0,,
1783-3006,2015-03-05,0,0,0,0,0,0,0,0,0,0,0,0,,
40-652-2270-24,2015-03-13,0,0,0,0,0,0,0,0,0,0,0,0,,
77032660,2015-04-16,3199.784662,32,0,1761.792285,32,0,1679.963354,32,0,0,18,0,CDS4469\2015,2016-09-10
77135541,2015-04-20,234.0661312,26,0,0,0,0,0,0,0,0,8,0,CDS4544\2015,2016-09-10
77491567-1,2015-04-21,2661.772653,33,0,2661.772653,33,0,2661.772653,33,0,0,6,0,CDS4545\2015,2016-09-10
40-565-4431-10E,2015-04-22,0,0,0,0,0,0,0,0,0,0,0,0,,
GTS170-3,2015-05-08,0.26,11,100,0.26,11,200,0,0,0,0,0,0,CDS4783\2015,2016-09-09
7190211B,2015-05-18,914.04,24,1,98.86,24,10,56.86,24,20,26.1,24,50,CDS4674\2015,2016-09-10
7190211D,2015-05-18,914.04,24,1,98.86,24,10,56.86,24,20,26.1,24,50,CDS4675\2015,2016-09-09
86629937SP,2015-05-26,0,0,0,0,0,0,0,0,0,0,0,0,,
GTS1700-12M,2015-05-27,0,0,0,0,0,0,0,0,0,0,0,0,,
77088005,2015-05-28,1387.415158,26,0,0,0,0,0,0,0,0,8,0,CDS4635\2015,2016-09-10
77131967,2015-05-28,1055.388698,34,0,0,0,0,0,0,0,0,14,0,CDS4637\2015,2016-09-10
77881509,2015-06-15,1525.97,26,5,904.91,26,10,455.38,26,20,0,0,0,CDS4846\2015,2016-09-09
77034634,2015-06-22,1107.88,14,1,312.43,14,5,213.08,14,10,133.54,14,50,CDS4849\2015,2016-09-09
1542-1034,2015-06-23,2411.36,22,1,160.11,22,50,138.04,22,100,123.82,22,500,CDS4868\2015,2016-09-09
77103386,2015-07-01,23536.59,52,1,8045.22,52,5,5596.97,52,10,4261.04,54,20,CDS4877\2015,2016-09-09
77879560,2015-07-01,1490.64,16,1,1490.64,16,5,1490.64,16,10,1490.64,16,50,CDS4879\2015,2016-09-09
77120399A,2015-07-10,3801.34,32,5,2175.63,32,10,1085.83,32,50,0,6,0,CDS4911\2015,2016-09-10
17110-237Z,2015-08-02,544.77,20,5,224.88,20,10,57.23,20,50,0,0,0,CDS5029\2015,2016-10-01
77133312,2015-08-03,7.8,12,50,0,0,0,0,0,0,0,0,0,CDS4974\2015,2016-09-15
GTS486-57C,2015-08-03,0.06,10,1000,0.06,10,3000,0.06,10,5000,0,0,25000,CDS4972\2015,2016-08-11
GTS609-230F,2015-08-03,0.376996755,2,0,0.376996755,2,0,0.376996755,2,0,0,0,0,CDS4973\2015,2016-08-05
77133312,2015-08-03,7.8,12,50,0,0,0,0,0,0,0,0,0,CDS4974\2015,2016-09-15
17110-237Z,2015-08-05,544.77,20,5,224.88,20,10,57.23,20,50,0,0,0,CDS5021\2015,2016-10-01
77600359,2015-08-05,4519.23,32,5,3143.78,32,10,1543.68,0,50,0,0,0,CDS5022\2015,2016-10-02
86623944,2015-08-05,992.35,22,10,992.35,22,50,0,0,0,0,0,0,CDS5116\2015,2016-10-01
77117560G5,2015-08-05,0,0,0,0,0,0,0,0,0,0,0,0,,
77117560G5,2015-08-05,0,0,0,0,0,0,0,0,0,0,0,0,,
77151078,2015-08-06,87,6,125,0,0,0,0,0,0,0,0,0,CDS4976\2015,2016-08-12
77069171,2015-08-06,1054.391125,2,0,1054.391125,2,0,1054.391125,2,0,0,0,0,CDS4978\2015,2016-08-06
0216-2836,2015-08-10,156.01,46,5,31.2,46,25,16.43,46,50,12.66,46,250,CDS4983\2015,2016-09-15
0216-2836,2015-08-10,156.01,46,5,31.2,46,25,16.43,46,50,12.66,46,250,CDS4983\2015,2016-09-15
77151960,2015-08-10,4930.876736,46,0,4930.876736,46,0,0,0,0,0,19,0,CDS4984\2015,2016-10-02
GTS825-45,2015-08-10,0,0,0,0,0,0,0,0,0,0,0,0,,
STD1053-4002,2015-08-10,0,0,0,0,0,0,0,0,0,0,0,0,,
1541-1149,2015-08-10,336.28,30,500,329.37,22,1000,327.68,22,5000,300,0,0,,
GTS486-62B,2015-08-11,0.5,12,5000,0,0,0,0,0,0,0,0,0,CDS4998\2015,2016-10-01
GTS486-128B,2015-08-11,0,0,0,0,0,0,0,0,0,0,0,0,,
86630027,2015-08-12,2.93,18,100,0,0,0,0,0,0,0,0,0,CDS5002\2015,2016-09-10
86630027,2015-08-12,2.93,18,100,0,0,0,0,0,0,0,0,0,CDS5003\2015,2016-09-10
GTS1907-13C,2015-08-12,0,0,0,0,0,0,0,0,0,0,0,0,,
86630027,2015-08-12,2.93,18,100,0,0,0,0,0,0,0,0,0,CDS5002\2015,2016-09-10
86630027,2015-08-12,2.93,18,100,0,0,0,0,0,0,0,0,0,CDS5003\2015,2016-09-10
77856087,2015-08-18,260.01,12,1,65,12,4,0,0,0,13,12,20,CDS5007\2015,2016-09-10
77159406,2015-08-18,1227.709718,18,0,1227.709718,18,0,0,0,0,0,0,0,CDS5004\2015,2016-09-17
30-733-3134-01,2015-08-18,0.1,4,100,0,0,0,0,0,0,0,0,0,CDS5005\2015,2016-09-18
77856087,2015-08-18,260.01,12,1,65,12,4,0,0,0,13,12,20,CDS5007\2015,2016-09-10
86630093,2015-08-18,3557.570806,25,0,3048.857277,25,0,3048.857277,25,0,0,4,0,CDS5008\2015,2016-09-25
7231301,2015-08-18,0,0,0,0,0,0,0,0,0,0,0,0,,
KDC3766,2015-08-18,1175.99,17,1,1175.99,17,5,0,12,0,0,12,0,CDS5012\2015,2016-09-29
77872822,2015-08-18,0,0,0,0,0,0,0,0,0,0,0,0,CDS5024\2015,2016-08-27
77032262,2015-08-18,151.07,12,100,0,0,0,0,0,0,135.91,12,500,CDS5025\2015,2016-09-29
77032699,2015-08-18,0,0,0,0,0,0,0,0,0,0,0,0,,
0953-0588,2015-08-19,0,0,0,0,0,0,0,0,0,0,0,0,,
17101-75,2015-08-19,46.08,20,1,46.08,20,5,46.08,20,10,0,0,50,CDS5016\2015,2016-08-21
GTS1933-033,2015-08-19,0,0,0,0,0,0,0,0,0,0,0,0,,
77491163,2015-08-20,0,0,0,0,0,0,0,0,0,0,0,0,,
77871287,2015-08-24,598.65,20,5,0,0,0,0,0,0,0,0,0,CDS5033\2015,2016-09-15
77600359,2015-08-24,4519.23,32,5,3143.78,32,10,1543.68,32,50,0,0,0,CDS5030\2015,2016-10-02
77153862,2015-08-24,0,0,0,0,0,0,0,0,0,0,0,0,,
1310-1080,2015-08-24,0,0,0,0,0,0,0,0,0,0,0,0,,
77871287,2015-08-24,598.65,20,5,0,0,0,0,0,0,0,0,0,CDS5033\2015,2016-09-15
KDCC774,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
86610424,2015-08-25,3.709647152,2,0,3.709647152,2,0,3.709647152,2,0,0,0,0,CDS5034\2015,2016-08-27
77348717,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77156694,2015-08-25,84.01,16,40,0,0,0,0,0,0,0,0,0,CDS5056\2015,2016-09-17
77156688,2015-08-25,93.92,12,40,0,0,0,0,0,0,0,0,0,CDS5057\2015,2016-09-18
77069589,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069588,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069587,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069586,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069585,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069584,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069583,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069582,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069581,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069580,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069579,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
77069578,2015-08-25,0,0,0,0,0,0,0,0,0,0,0,0,,
0216-4013,2015-08-26,156.01,13,5,98.54,13,10,83.28,13,50,0,0,0,CDS5044\2015,2016-10-01
GTS327-28,2015-08-26,0,0,0,0,0,0,0,0,0,0,0,0,,
48-900-0002,2015-08-26,0,0,0,0,0,0,0,0,0,0,0,0,,
GTS591-41K,2015-08-27,0.75,16,100,0,0,0,0,0,0,0,0,0,CDS5051\2015,2016-10-01
77564863,2015-09-01,1170.04,48,10,1079.04,48,20,1027.04,48,100,0,28,0,CDS5074\2015,2016-09-15
77769931,2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,,
77102007,2015-09-08,23.75,20,1,23.75,20,5,23.75,20,10,23.75,20,50,CDS5091\2015,2016-09-09
77082334,2015-09-16,1117.156787,2,0,1117.156787,2,0,1117.156787,2,0,0,0,0,CDS5129\2015,2016-09-16
77137160,2015-09-21,8.268306806,2,0,8.268306806,2,0,8.268306806,2,0,0,0,0,CDS5175\2015,2016-09-21
77152728,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,0,,
1775-4017,2015-09-21,100.16,20,2,0,0,0,0,0,0,100.16,20,10,CDS5177\2015,2016-10-01
77133982,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,0,,
77140762,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,0,,
17123-29E,2015-09-21,23.06987592,2,0,23.06987592,2,0,23.06987592,2,0,0,0,0,CDS5180\2015,2016-09-21
17123-29F,2015-09-21,23.06987592,2,0,23.06987592,2,0,23.06987592,2,0,0,0,0,CDS5181\2015,2016-09-21
86603168,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,0,,
GTS474-68,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,0,,
KDC5254,2015-09-28,1602.773417,2,0,1602.773417,2,0,1602.773417,2,0,0,0,0,CDS5187\2015,2016-09-28
77112857,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
77136464,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
77133825,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
77082995,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
77293366,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
7061308C,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
GTS200-4,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,,
