CDSSYS,CDS_PART_CAT_S,,EN
PART_NBR
77087269
1648-3000
2607-4002
77153629
77151060
77152473
77152476
77085494
77087645
77088043
77088082
77088085
77133954
77152609
77154425
77691539
FPMU106-73-109
1729-4001
CP8303
SPKIT128
SPKIT129
GTS797-8
77135663
77069278
86606008
77153711
77132939
77112327
77136624
77147713
77147714
77206987
77342567
77347959
77875612
77878691
77878756
77151956
77087367
77088004
77086256
77086297
77087178
77087531
77087532
77087845
77087965
77088040
77088072
77152826
77592593
77691799
86620692
86603077
86603078
1655-1080
77150789
77347721
86628402
STD383-8
1655-1094
1685-3002
1685-3006
77066165
77066760
77069742
77069992
77135698
77152711
77156118
PLY4637